insert key=00891116, val=4857751755356809
look-up localnode=DKFZQ6AD, key=85648279
insert key=62920156, val=6254999694240694
look-up localnode=D60097WC, key=37823731
insert key=58604164, val=5819685329618605
look-up localnode=IC2Y0POO, key=21428176
look-up localnode=V30KUBY9, key=58982692
insert key=79708318, val=6107396916243365
look-up localnode=TWGS8Z3J, key=40463711
insert key=36213147, val=4795670032205858
look-up localnode=OB5OZDHS, key=79708318
look-up localnode=D60097WC, key=21227018
look-up localnode=CNMM9KBI, key=93090135
insert key=15547953, val=2944383884683951
insert key=51183806, val=2898655304868810
look-up localnode=5G9PW0BT, key=51415460
look-up localnode=TWGS8Z3J, key=02180304
look-up localnode=7F1OYT7A, key=47347229
insert key=63155219, val=1944721074541151
look-up localnode=MC535J9B, key=00891116
look-up localnode=IQEZESES, key=58604164
look-up localnode=1APFRDNY, key=47699363
insert key=97646186, val=9651992393599265
look-up localnode=SOFZL7QB, key=29514619
look-up localnode=CUZBZ7EK, key=12829712
look-up localnode=SOFZL7QB, key=34828917
look-up localnode=SOFZL7QB, key=97646186
nodejoin id=IN1NYB4T, ip=GV8E3M3SJ8WJ, port=90647, contact_node=OB5OZDHS
insert key=62574918, val=2466875838762412
insert key=69938946, val=5292126616852065
insert key=06644133, val=1055241335320782
insert key=77967286, val=7016225377436485
look-up localnode=D60097WC, key=53828540
look-up localnode=DKFZQ6AD, key=27277040
look-up localnode=DKFZQ6AD, key=18264322
insert key=28976532, val=5751190814231866
nodejoin id=V4Z9RRN5, ip=7TACMWQ8XPS8, port=50981, contact_node=SHBE6T9Y
look-up localnode=IN1NYB4T, key=29514619
insert key=47430356, val=1994685750584997
look-up localnode=1APFRDNY, key=33147281
insert key=64762602, val=1413297538855943
insert key=94820558, val=2194300889872683
insert key=38254661, val=2031614567073585
insert key=84779726, val=2314411276391533
insert key=98071885, val=6359977515187127
look-up localnode=1APFRDNY, key=09204392
look-up localnode=U9QR4FKA, key=85635899
look-up localnode=SHBE6T9Y, key=95319767
nodejoin id=GAOZJGRR, ip=A1OOUADZV6JC, port=92064, contact_node=IN1NYB4T
insert key=63906020, val=2895815293502349
look-up localnode=IN1NYB4T, key=35960513
insert key=54446515, val=4207144252876537
insert key=26206681, val=8825745403458927
insert key=55041407, val=0714431004036263
look-up localnode=DKFZQ6AD, key=61216543
look-up localnode=CUZBZ7EK, key=93612710
look-up localnode=CNMM9KBI, key=29514619
look-up localnode=SHBE6T9Y, key=77967286
look-up localnode=1APFRDNY, key=64762602
look-up localnode=IN1NYB4T, key=47430356
look-up localnode=1APFRDNY, key=33462241
look-up localnode=TWGS8Z3J, key=05083013
